operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask
write,0,95322.875,0.7272558212280273,10,10,0.000318176,[10],10,1,2285.702948141995,pfs,8,mutation_overlap,10532-dc155,chr6-GBR.tar.gz,3,final_data
read,0,16716.37984496124,2.056515693664551,10,10,0.000487294,[10],10,1,4220.27706818584,pfs,129,mutation_overlap,10532-dc155,chr6n.tar.gz,3,individuals_merge
read,0,16716.37984496124,2.056515693664551,10,10,0.000487294,[10],10,1,4220.27706818584,pfs,129,mutation_overlap,10532-dc155,columns.txt,3,initial_data
read,0,16716.37984496124,2.056515693664551,10,10,0.000487294,[10],10,1,4220.27706818584,pfs,129,mutation_overlap,10532-dc155,sifted.SIFT.chr6.txt,3,sifting
write,0,171673.125,1.3097620010375977,10,10,0.000526424,[10],10,1,2488.036261716027,pfs,8,mutation_overlap,10542-dc155,chr6-EUR.tar.gz,3,final_data
read,0,21405.627906976744,2.6334056854248047,10,10,0.000648214,[10],10,1,4062.5560161070334,pfs,129,mutation_overlap,10542-dc155,chr6n.tar.gz,3,individuals_merge
read,0,21405.627906976744,2.6334056854248047,10,10,0.000648214,[10],10,1,4062.5560161070334,pfs,129,mutation_overlap,10542-dc155,columns.txt,3,initial_data
read,0,21405.627906976744,2.6334056854248047,10,10,0.000648214,[10],10,1,4062.5560161070334,pfs,129,mutation_overlap,10542-dc155,sifted.SIFT.chr6.txt,3,sifting
write,0,130778.625,0.9977617263793945,10,10,0.000396905,[10],10,1,2513.8552711086895,pfs,8,mutation_overlap,10546-dc155,chr6-AMR.tar.gz,3,final_data
read,0,18865.217054263565,2.3208742141723633,10,10,0.001859621,[10],10,1,1248.0361397146855,pfs,129,mutation_overlap,10546-dc155,chr6n.tar.gz,3,individuals_merge
read,0,18865.217054263565,2.3208742141723633,10,10,0.001859621,[10],10,1,1248.0361397146855,pfs,129,mutation_overlap,10546-dc155,columns.txt,3,initial_data
read,0,18865.217054263565,2.3208742141723633,10,10,0.001859621,[10],10,1,1248.0361397146855,pfs,129,mutation_overlap,10546-dc155,sifted.SIFT.chr6.txt,3,sifting
write,0,784824.0476190476,15.71779727935791,10,10,0.005542377,[10],10,1,2835.93073501819,pfs,21,mutation_overlap,10551-dc155,chr6-ALL.tar.gz,3,final_data
